transaction_id,transaction_date,customer_id,product,quantity,price,region,payment_method
5278b50c-1c23-4de1-be6c-09dc78c02314,2024-08-29,CUST4619,Tablet,2,1010.49,East,Debit Card
cf8c5bd6-8558-4032-b76a-c341834f8f1a,2024-10-07,CUST7363,Tablet,5,230.65,South,Debit Card
4f64de37-4d19-4af7-becc-9b1bbec62b02,2024-09-07,CUST4323,Webcam,3,1669.19,East,Credit Card
b7a7fcf6-d75f-432c-bc08-2bdc4c7c5880,2024-07-15,CUST9054,Webcam,7,861.85,West,Cash
855ce347-a836-436d-9ec3-88aa2181e709,2024-04-13,CUST4319,Monitor,2,1192.02,North,PayPal
8d1007f6-bb86-425a-873a-f5ebdd1e40e1,2024-03-02,CUST2925,Phone,9,797.43,West,PayPal
730963dc-0f1a-4d5d-ada4-fdd6968fedf6,2024-08-11,CUST9625,Mouse,2,1282.47,Central,Debit Card
8b14175e-836a-4251-9844-2702fcfab668,2024-07-14,CUST4110,Laptop,3,377.82,North,Credit Card
a7a7ffad-9529-41ba-b028-75f07ceeeb50,2024-08-29,CUST7465,Mouse,8,1524.57,South,PayPal
1a1b280d-5501-4b3e-a49e-46803f5883d4,2024-02-23,CUST7300,,-1,invalid,West,PayPal
f98996e0-b220-439c-a31a-0c7d630342e9,2024-01-05,CUST2369,Mouse,5,250.88,East,Debit Card
ee257423-ffb6-4412-836a-2828179a17b1,2024-07-16,CUST4746,,-1,invalid,West,PayPal
295f39ca-2d20-4808-85ec-aeb1b008120e,2024-04-12,CUST2429,Charger,6,712.54,North,Credit Card
9d566b7d-7e97-4e97-9f2e-39c6d538df86,2024-09-24,CUST7318,Keyboard,2,1607.04,South,PayPal
fc32e154-eedf-41f9-a32d-85c909a08bc8,2024-05-03,CUST6375,Charger,3,724.62,West,Debit Card
10ac99b4-b22a-403b-9b99-de8ad93e1d51,2024-05-14,CUST2430,Webcam,6,1085.63,North,Credit Card
c0cb9e9e-7f69-4959-b25b-8d635f1ee791,2024-06-08,CUST3107,Webcam,6,289.26,North,PayPal
8438844d-5e3e-422c-bce5-03911c5fa50c,2024-10-11,CUST3348,,-1,invalid,Central,Debit Card
9665da76-a533-4a2f-a966-2f42b4d62472,2024-07-21,CUST1804,Mouse,4,1964.76,West,PayPal
a74681e6-d123-4ac4-a6ff-270967ff4576,2024-09-18,CUST3249,Monitor,10,839.61,Central,PayPal
bc61645c-393b-45a4-bbde-0d83ddfe483d,2024-10-24,CUST4297,Laptop,7,1456.67,Central,Debit Card
143efb83-f1e3-4411-a72f-597b78e165ae,2024-05-15,CUST5693,,-1,invalid,South,Cash
bb85bf7b-2cce-4106-9fc6-a079ca5f293a,2024-01-23,CUST2709,Headphones,3,1808.41,North,Debit Card
8a683cb0-a65a-4399-b088-c4e64693aad0,2024-04-08,CUST5879,Webcam,8,350.08,South,Debit Card
8a23f009-f76d-4043-8cbb-c476f191775f,2024-07-27,CUST1105,Monitor,4,1121.26,Central,Cash
216acb7a-cc59-4fd5-b7d3-eaeff13f70b2,2024-06-26,CUST8066,Mouse,3,957.03,South,Credit Card
971b84b5-2bdb-4f7d-bd67-afa46a90944b,2024-02-12,CUST7840,Keyboard,10,1796.4,East,PayPal
edfacc09-0bb0-49fe-8570-750df899351c,2024-04-25,CUST6590,Headphones,5,71.37,Central,Credit Card
6cc3ae56-d6bd-4dec-a9d8-1c5de19e79e5,2024-01-02,CUST9053,Headphones,5,1979.39,Central,PayPal
ee0ebe7d-f3d6-46b2-961d-28c6ac662eb9,2024-02-27,CUST9623,Mouse,8,1032.54,West,PayPal
9163f896-81e6-4f48-bf5a-0b39bbbd3fd5,2024-02-05,CUST6276,Monitor,9,264.12,North,Credit Card
bb57a562-8b05-4f65-acba-f95599f5d672,2024-05-18,CUST4891,Mouse,4,1105.21,North,Credit Card
5a9de5a8-7fb4-4c4b-9c87-9fd160139abe,2024-03-07,CUST3942,Keyboard,3,1025.42,North,Debit Card
94467644-fc10-4248-8cf0-a16b0ad23ea2,2024-09-02,CUST4197,Keyboard,5,854.8,North,Cash
